date_time,Monican01 Buoy model,date_time,Monican02 Buoy model
2014-1-13 6:0,3.41999983788,2014-1-13 6:0,3.1899998188
2014-1-13 7:0,3.54999995232,2014-1-13 7:0,3.29999995232
2014-1-13 8:0,3.67999982834,2014-1-13 8:0,3.41999983788
2014-1-13 9:0,3.81999993324,2014-1-13 9:0,3.53999996185
2014-1-13 10:0,3.94999980927,2014-1-13 10:0,3.66999983788
2014-1-13 11:0,4.07999992371,2014-1-13 11:0,3.78999996185
2014-1-13 12:0,4.19000005722,2014-1-13 12:0,3.89999985695
2014-1-13 13:0,4.28999996185,2014-1-13 13:0,4
2014-1-13 14:0,4.36999988556,2014-1-13 14:0,4.09999990463
2014-1-13 15:0,4.44999980927,2014-1-13 15:0,4.17999982834
2014-1-13 16:0,4.52999973297,2014-1-13 16:0,4.25999975204
2014-1-13 17:0,4.61000013351,2014-1-13 17:0,4.33999967575
2014-1-13 18:0,4.69999980927,2014-1-13 18:0,4.42000007629
2014-1-13 19:0,4.78999996185,2014-1-13 19:0,4.50999975204
2014-1-13 20:0,4.88000011444,2014-1-13 20:0,4.61000013351
2014-1-13 21:0,4.94999980927,2014-1-13 21:0,4.69999980927
2014-1-13 22:0,5.01999998093,2014-1-13 22:0,4.77999973297
2014-1-13 23:0,5.07999992371,2014-1-13 23:0,4.83999967575
2014-1-14 0:0,5.13000011444,2014-1-14 0:0,4.88999986649
2014-1-14 1:0,5.17999982834,2014-1-14 1:0,4.92999982834
2014-1-14 2:0,5.23999977112,2014-1-14 2:0,4.96999979019
2014-1-14 3:0,5.31999969482,2014-1-14 3:0,5.01999998093
2014-1-14 4:0,5.42000007629,2014-1-14 4:0,5.09999990463
2014-1-14 5:0,5.53999996185,2014-1-14 5:0,5.19000005722
2014-1-14 6:0,5.67000007629,2014-1-14 6:0,5.30999994278
2014-1-14 7:0,5.78999996185,2014-1-14 7:0,5.42999982834
2014-1-14 8:0,5.88999986649,2014-1-14 8:0,5.52999973297
2014-1-14 9:0,5.94999980927,2014-1-14 9:0,5.59999990463
2014-1-14 10:0,5.98000001907,2014-1-14 10:0,5.63999986649
2014-1-14 11:0,5.98999977112,2014-1-14 11:0,5.65000009537
2014-1-14 12:0,5.96999979019,2014-1-14 12:0,5.6299996376
2014-1-14 13:0,5.94999980927,2014-1-14 13:0,5.60999965668
2014-1-14 14:0,5.90999984741,2014-1-14 14:0,5.56999969482
2014-1-14 15:0,5.85999965668,2014-1-14 15:0,5.51999998093
2014-1-14 16:0,5.7999997139,2014-1-14 16:0,5.46999979019
2014-1-14 17:0,5.73999977112,2014-1-14 17:0,5.40999984741
2014-1-14 18:0,5.67000007629,2014-1-14 18:0,5.34999990463
2014-1-14 19:0,5.58999967575,2014-1-14 19:0,5.27999973297
2014-1-14 20:0,5.51999998093,2014-1-14 20:0,5.21000003815
2014-1-14 21:0,5.44000005722,2014-1-14 21:0,5.13000011444
2014-1-14 22:0,5.36999988556,2014-1-14 22:0,5.05999994278
2014-1-14 23:0,5.2999997139,2014-1-14 23:0,4.98999977112
2014-1-15 0:0,5.21999979019,2014-1-15 0:0,4.90999984741
2014-1-15 1:0,5.15000009537,2014-1-15 1:0,4.83999967575
2014-1-15 2:0,5.06999969482,2014-1-15 2:0,4.75999975204
2014-1-15 3:0,4.98000001907,2014-1-15 3:0,4.67999982834
2014-1-15 4:0,4.88999986649,2014-1-15 4:0,4.59999990463
2014-1-15 5:0,4.7999997139,2014-1-15 5:0,4.51999998093
2014-1-15 6:0,4.71000003815,2014-1-15 6:0,4.44000005722
2014-1-15 7:0,4.61000013351,2014-1-15 7:0,4.34999990463
2014-1-15 8:0,4.50999975204,2014-1-15 8:0,4.25999975204
2014-1-15 9:0,4.40999984741,2014-1-15 9:0,4.17999982834
2014-1-15 10:0,4.30999994278,2014-1-15 10:0,4.08999967575
2014-1-15 11:0,4.21000003815,2014-1-15 11:0,4
2014-1-15 12:0,4.11999988556,2014-1-15 12:0,3.90999984741
2014-1-15 13:0,4.02999973297,2014-1-15 13:0,3.81999993324
2014-1-15 14:0,3.9399998188,2014-1-15 14:0,3.74000000954
2014-1-15 15:0,3.84999990463,2014-1-15 15:0,3.64999985695
2014-1-15 16:0,3.76999998093,2014-1-15 16:0,3.55999994278
2014-1-15 17:0,3.6899998188,2014-1-15 17:0,3.48000001907
2014-1-15 18:0,3.6099998951,2014-1-15 18:0,3.40999984741
2014-1-15 19:0,3.53999996185,2014-1-15 19:0,3.33999991417
2014-1-15 20:0,3.50999999046,2014-1-15 20:0,3.28999996185
2014-1-15 21:0,3.53999996185,2014-1-15 21:0,3.27999997139
2014-1-15 22:0,3.63999986649,2014-1-15 22:0,3.33999991417
2014-1-15 23:0,3.77999997139,2014-1-15 23:0,3.48000001907
2014-1-16 0:0,3.91999983788,2014-1-16 0:0,3.65999984741
2014-1-16 1:0,4.05999994278,2014-1-16 1:0,3.81999993324
2014-1-16 2:0,4.21000003815,2014-1-16 2:0,3.97000002861
2014-1-16 3:0,4.38999986649,2014-1-16 3:0,4.13000011444
2014-1-16 4:0,4.61000013351,2014-1-16 4:0,4.30999994278
2014-1-16 5:0,4.83999967575,2014-1-16 5:0,4.50999975204
2014-1-16 6:0,5.07999992371,2014-1-16 6:0,4.71000003815
2014-1-16 7:0,5.2999997139,2014-1-16 7:0,4.90000009537
2014-1-16 8:0,5.5,2014-1-16 8:0,5.07999992371
2014-1-16 9:0,5.67000007629,2014-1-16 9:0,5.23999977112
2014-1-16 10:0,5.81999969482,2014-1-16 10:0,5.38000011444
2014-1-16 11:0,5.96000003815,2014-1-16 11:0,5.50999975204
2014-1-16 12:0,6.06999969482,2014-1-16 12:0,5.61999988556
2014-1-16 13:0,6.15999984741,2014-1-16 13:0,5.69999980927
2014-1-16 14:0,6.21999979019,2014-1-16 14:0,5.76999998093
2014-1-16 15:0,6.25999975204,2014-1-16 15:0,5.80999994278
2014-1-16 16:0,6.27999973297,2014-1-16 16:0,5.83999967575
2014-1-16 17:0,6.27999973297,2014-1-16 17:0,5.84999990463
2014-1-16 18:0,6.26999998093,2014-1-16 18:0,5.84999990463
2014-1-16 19:0,6.23999977112,2014-1-16 19:0,5.82999992371
2014-1-16 20:0,6.19999980927,2014-1-16 20:0,5.80999994278
2014-1-16 21:0,6.15999984741,2014-1-16 21:0,5.77999973297
2014-1-16 22:0,6.11999988556,2014-1-16 22:0,5.73999977112
2014-1-16 23:0,6.07999992371,2014-1-16 23:0,5.69999980927
2014-1-17 0:0,6.0499997139,2014-1-17 0:0,5.65999984741
2014-1-17 1:0,6.01999998093,2014-1-17 1:0,5.61999988556
2014-1-17 2:0,6,2014-1-17 2:0,5.57999992371
2014-1-17 3:0,6.00999975204,2014-1-17 3:0,5.53999996185
2014-1-17 4:0,6.0499997139,2014-1-17 4:0,5.53999996185
2014-1-17 5:0,6.09999990463,2014-1-17 5:0,5.57999992371
2014-1-17 6:0,6.13999986649,2014-1-17 6:0,5.63999986649
2014-1-17 7:0,6.19000005722,2014-1-17 7:0,5.69999980927
2014-1-17 8:0,6.25,2014-1-17 8:0,5.75
2014-1-17 9:0,6.33999967575,2014-1-17 9:0,5.80999994278
2014-1-17 10:0,6.44999980927,2014-1-17 10:0,5.88999986649
2014-1-17 11:0,6.5499997139,2014-1-17 11:0,5.96999979019
2014-1-17 12:0,6.6299996376,2014-1-17 12:0,6.03999996185
2014-1-17 13:0,6.69000005722,2014-1-17 13:0,6.08999967575
2014-1-17 14:0,6.73000001907,2014-1-17 14:0,6.11999988556
2014-1-17 15:0,6.75999975204,2014-1-17 15:0,6.13999986649
2014-1-17 16:0,6.7999997139,2014-1-17 16:0,6.15000009537
2014-1-17 17:0,6.82999992371,2014-1-17 17:0,6.17999982834
2014-1-17 18:0,6.86999988556,2014-1-17 18:0,6.19999980927
2014-1-17 19:0,6.90999984741,2014-1-17 19:0,6.23000001907
2014-1-17 20:0,6.94000005722,2014-1-17 20:0,6.25999975204
2014-1-17 21:0,6.94000005722,2014-1-17 21:0,6.27999973297
2014-1-17 22:0,6.92999982834,2014-1-17 22:0,6.2999997139
2014-1-17 23:0,6.92000007629,2014-1-17 23:0,6.30999994278
2014-1-18 0:0,6.86999988556,2014-1-18 0:0,6.2999997139
2014-1-18 1:0,6.80999994278,2014-1-18 1:0,6.27999973297
2014-1-18 2:0,6.82999992371,2014-1-18 2:0,6.21999979019
2014-1-18 3:0,6.92999982834,2014-1-18 3:0,6.1299996376
2014-1-18 4:0,7.06999969482,2014-1-18 4:0,6.11999988556
2014-1-18 5:0,7.14999961853,2014-1-18 5:0,6.23000001907
2014-1-18 6:0,7.14999961853,2014-1-18 6:0,6.33999967575
2014-1-18 7:0,7.08999967575,2014-1-18 7:0,6.3799996376
2014-1-18 8:0,6.98000001907,2014-1-18 8:0,6.35999965668
2014-1-18 9:0,6.83999967575,2014-1-18 9:0,6.28999996185
2014-1-18 10:0,6.69000005722,2014-1-18 10:0,6.17999982834
2014-1-18 11:0,6.51999998093,2014-1-18 11:0,6.05999994278
2014-1-18 12:0,6.34999990463,2014-1-18 12:0,5.92000007629
2014-1-18 13:0,6.17999982834,2014-1-18 13:0,5.77999973297
2014-1-18 14:0,6.00999975204,2014-1-18 14:0,5.63999986649
2014-1-18 15:0,5.84999990463,2014-1-18 15:0,5.50999975204
2014-1-18 16:0,5.69999980927,2014-1-18 16:0,5.38000011444
2014-1-18 17:0,5.56999969482,2014-1-18 17:0,5.25
2014-1-18 18:0,5.42999982834,2014-1-18 18:0,5.13000011444
2014-1-18 19:0,5.2999997139,2014-1-18 19:0,5.00999975204
2014-1-18 20:0,5.17000007629,2014-1-18 20:0,4.88999986649
2014-1-18 21:0,5.03999996185,2014-1-18 21:0,4.76999998093
2014-1-18 22:0,4.92000007629,2014-1-18 22:0,4.65000009537
2014-1-18 23:0,4.80999994278,2014-1-18 23:0,4.53999996185
2014-1-19 0:0,4.69999980927,2014-1-19 0:0,4.42999982834
2014-1-19 1:0,4.63000011444,2014-1-19 1:0,4.32999992371
2014-1-19 2:0,4.65999984741,2014-1-19 2:0,4.21000003815
2014-1-19 3:0,4.78999996185,2014-1-19 3:0,4.13999986649
2014-1-19 4:0,4.96000003815,2014-1-19 4:0,4.2999997139
2014-1-19 5:0,5.15000009537,2014-1-19 5:0,4.55999994278
2014-1-19 6:0,5.2999997139,2014-1-19 6:0,4.76999998093
2014-1-19 7:0,5.38999986649,2014-1-19 7:0,4.88000011444
2014-1-19 8:0,5.42000007629,2014-1-19 8:0,4.92000007629
2014-1-19 9:0,5.40000009537,2014-1-19 9:0,4.90999984741
2014-1-19 10:0,5.33999967575,2014-1-19 10:0,4.86999988556
2014-1-19 11:0,5.25,2014-1-19 11:0,4.80999994278
2014-1-19 12:0,5.15999984741,2014-1-19 12:0,4.73999977112
2014-1-19 13:0,5.0499997139,2014-1-19 13:0,4.67000007629
2014-1-19 14:0,4.92999982834,2014-1-19 14:0,4.57999992371
2014-1-19 15:0,4.80999994278,2014-1-19 15:0,4.5
2014-1-19 16:0,4.69999980927,2014-1-19 16:0,4.40999984741
2014-1-19 17:0,4.58999967575,2014-1-19 17:0,4.31999969482
2014-1-19 18:0,4.48999977112,2014-1-19 18:0,4.23999977112
2014-1-19 19:0,4.40000009537,2014-1-19 19:0,4.15999984741
2014-1-19 20:0,4.32999992371,2014-1-19 20:0,4.09999990463
2014-1-19 21:0,4.26999998093,2014-1-19 21:0,4.0499997139
2014-1-19 22:0,4.21000003815,2014-1-19 22:0,4
2014-1-19 23:0,4.15999984741,2014-1-19 23:0,3.95999979973
2014-1-20 0:0,4.11000013351,2014-1-20 0:0,3.91999983788
2014-1-20 1:0,4.06999969482,2014-1-20 1:0,3.88999986649
2014-1-20 2:0,4.03999996185,2014-1-20 2:0,3.8599998951
2014-1-20 3:0,4.01999998093,2014-1-20 3:0,3.82999992371
2014-1-20 4:0,4,2014-1-20 4:0,3.80999994278
2014-1-20 5:0,3.98000001907,2014-1-20 5:0,3.77999997139
2014-1-20 6:0,3.95999979973,2014-1-20 6:0,3.75999999046
2014-1-20 7:0,3.9399998188,2014-1-20 7:0,3.73000001907
2014-1-20 8:0,3.91999983788,2014-1-20 8:0,3.70999979973
2014-1-20 9:0,3.89999985695,2014-1-20 9:0,3.67999982834
2014-1-20 10:0,3.87999987602,2014-1-20 10:0,3.65999984741
2014-1-20 11:0,3.84999990463,2014-1-20 11:0,3.63999986649
2014-1-20 12:0,3.82999992371,2014-1-20 12:0,3.61999988556
2014-1-20 13:0,3.80999994278,2014-1-20 13:0,3.59999990463
2014-1-20 14:0,3.77999997139,2014-1-20 14:0,3.57999992371
2014-1-20 15:0,3.75,2014-1-20 15:0,3.54999995232
2014-1-20 16:0,3.73000001907,2014-1-20 16:0,3.52999997139
2014-1-20 17:0,3.69999980927,2014-1-20 17:0,3.5
2014-1-20 18:0,3.66999983788,2014-1-20 18:0,3.48000001907
2014-1-20 19:0,3.63999986649,2014-1-20 19:0,3.44999980927
2014-1-20 20:0,3.6099998951,2014-1-20 20:0,3.41999983788
2014-1-20 21:0,3.57999992371,2014-1-20 21:0,3.38999986649
2014-1-20 22:0,3.54999995232,2014-1-20 22:0,3.3599998951
2014-1-20 23:0,3.50999999046,2014-1-20 23:0,3.31999993324
2014-1-21 0:0,3.48000001907,2014-1-21 0:0,3.28999996185
2014-1-21 1:0,3.44999980927,2014-1-21 1:0,3.25999999046
2014-1-21 2:0,3.40999984741,2014-1-21 2:0,3.22000002861
2014-1-21 3:0,3.36999988556,2014-1-21 3:0,3.1899998188
2014-1-21 4:0,3.32999992371,2014-1-21 4:0,3.14999985695
2014-1-21 5:0,3.27999997139,2014-1-21 5:0,3.1099998951
2014-1-21 6:0,3.23000001907,2014-1-21 6:0,3.05999994278
2014-1-21 7:0,3.16999983788,2014-1-21 7:0,3.00999999046
2014-1-21 8:0,3.1099998951,2014-1-21 8:0,2.96000003815
2014-1-21 9:0,3.04999995232,2014-1-21 9:0,2.89999985695
2014-1-21 10:0,2.98000001907,2014-1-21 10:0,2.82999992371
2014-1-21 11:0,2.91999983788,2014-1-21 11:0,2.76999998093
2014-1-21 12:0,2.86999988556,2014-1-21 12:0,2.70000004768
2014-1-21 13:0,2.84999990463,2014-1-21 13:0,2.64999985695
2014-1-21 14:0,2.8599998951,2014-1-21 14:0,2.61999988556
2014-1-21 15:0,2.87999987602,2014-1-21 15:0,2.61999988556
2014-1-21 16:0,2.89999985695,2014-1-21 16:0,2.64999985695
2014-1-21 17:0,2.91999983788,2014-1-21 17:0,2.69000005722
2014-1-21 18:0,2.95000004768,2014-1-21 18:0,2.73000001907
2014-1-21 19:0,2.96000003815,2014-1-21 19:0,2.75
2014-1-21 20:0,2.96000003815,2014-1-21 20:0,2.76999998093
2014-1-21 21:0,2.9399998188,2014-1-21 21:0,2.75999999046
2014-1-21 22:0,2.89999985695,2014-1-21 22:0,2.75
2014-1-21 23:0,2.84999990463,2014-1-21 23:0,2.72000002861
2014-1-22 0:0,2.79999995232,2014-1-22 0:0,2.67999982834
2014-1-22 1:0,2.75,2014-1-22 1:0,2.63999986649
2014-1-22 2:0,2.70000004768,2014-1-22 2:0,2.59999990463
2014-1-22 3:0,2.65999984741,2014-1-22 3:0,2.55999994278
2014-1-22 4:0,2.62999987602,2014-1-22 4:0,2.52999997139
2014-1-22 5:0,2.59999990463,2014-1-22 5:0,2.5
2014-1-22 6:0,2.57999992371,2014-1-22 6:0,2.48000001907
2014-1-22 7:0,2.56999993324,2014-1-22 7:0,2.47000002861
2014-1-22 8:0,2.58999991417,2014-1-22 8:0,2.48000001907
2014-1-22 9:0,2.62999987602,2014-1-22 9:0,2.49000000954
2014-1-22 10:0,2.71000003815,2014-1-22 10:0,2.52999997139
2014-1-22 11:0,2.86999988556,2014-1-22 11:0,2.61999988556
2014-1-22 12:0,3.11999988556,2014-1-22 12:0,2.79999995232
2014-1-22 13:0,3.42999982834,2014-1-22 13:0,3.06999993324
2014-1-22 14:0,3.75999999046,2014-1-22 14:0,3.36999988556
2014-1-22 15:0,4.05999994278,2014-1-22 15:0,3.65999984741
2014-1-22 16:0,4.28999996185,2014-1-22 16:0,3.88999986649
2014-1-22 17:0,4.46000003815,2014-1-22 17:0,4.03999996185
2014-1-22 18:0,4.56999969482,2014-1-22 18:0,4.13999986649
2014-1-22 19:0,4.63999986649,2014-1-22 19:0,4.19000005722
2014-1-22 20:0,4.67000007629,2014-1-22 20:0,4.21999979019
2014-1-22 21:0,4.67000007629,2014-1-22 21:0,4.23999977112
2014-1-22 22:0,4.65999984741,2014-1-22 22:0,4.23999977112
2014-1-22 23:0,4.63999986649,2014-1-22 23:0,4.21999979019
2014-1-23 0:0,4.61999988556,2014-1-23 0:0,4.19999980927
2014-1-23 1:0,4.57999992371,2014-1-23 1:0,4.15999984741
2014-1-23 2:0,4.53999996185,2014-1-23 2:0,4.11999988556
2014-1-23 3:0,4.48000001907,2014-1-23 3:0,4.06999969482
2014-1-23 4:0,4.42000007629,2014-1-23 4:0,4.00999975204
2014-1-23 5:0,4.34999990463,2014-1-23 5:0,3.94999980927
2014-1-23 6:0,4.27999973297,2014-1-23 6:0,3.87999987602
2014-1-23 7:0,4.21000003815,2014-1-23 7:0,3.81999993324
2014-1-23 8:0,4.13999986649,2014-1-23 8:0,3.75999999046
2014-1-23 9:0,4.06999969482,2014-1-23 9:0,3.69999980927
2014-1-23 10:0,3.98000001907,2014-1-23 10:0,3.63999986649
2014-1-23 11:0,3.88999986649,2014-1-23 11:0,3.58999991417
2014-1-23 12:0,3.79999995232,2014-1-23 12:0,3.51999998093
2014-1-23 13:0,3.70999979973,2014-1-23 13:0,3.46000003815
2014-1-23 14:0,3.6099998951,2014-1-23 14:0,3.37999987602
2014-1-23 15:0,3.51999998093,2014-1-23 15:0,3.30999994278
2014-1-23 16:0,3.42999982834,2014-1-23 16:0,3.24000000954
2014-1-23 17:0,3.3599998951,2014-1-23 17:0,3.17999982834
2014-1-23 18:0,3.30999994278,2014-1-23 18:0,3.11999988556
2014-1-23 19:0,3.26999998093,2014-1-23 19:0,3.06999993324
2014-1-23 20:0,3.23000001907,2014-1-23 20:0,3.02999997139
2014-1-23 21:0,3.19999980927,2014-1-23 21:0,3
2014-1-23 22:0,3.16999983788,2014-1-23 22:0,2.96000003815
2014-1-23 23:0,3.12999987602,2014-1-23 23:0,2.92999982834
2014-1-24 0:0,3.09999990463,2014-1-24 0:0,2.89999985695
2014-1-24 1:0,3.06999993324,2014-1-24 1:0,2.86999988556
2014-1-24 2:0,3.03999996185,2014-1-24 2:0,2.83999991417
2014-1-24 3:0,3.00999999046,2014-1-24 3:0,2.80999994278
2014-1-24 4:0,2.99000000954,2014-1-24 4:0,2.77999997139
2014-1-24 5:0,2.96000003815,2014-1-24 5:0,2.75999999046
2014-1-24 6:0,2.9399998188,2014-1-24 6:0,2.74000000954
2014-1-24 7:0,2.90999984741,2014-1-24 7:0,2.72000002861
2014-1-24 8:0,2.87999987602,2014-1-24 8:0,2.69000005722
2014-1-24 9:0,2.84999990463,2014-1-24 9:0,2.66999983788
2014-1-24 10:0,2.81999993324,2014-1-24 10:0,2.63999986649
2014-1-24 11:0,2.77999997139,2014-1-24 11:0,2.61999988556
2014-1-24 12:0,2.74000000954,2014-1-24 12:0,2.58999991417
2014-1-24 13:0,2.70000004768,2014-1-24 13:0,2.56999993324
2014-1-24 14:0,2.65999984741,2014-1-24 14:0,2.53999996185
2014-1-24 15:0,2.61999988556,2014-1-24 15:0,2.50999999046
2014-1-24 16:0,2.57999992371,2014-1-24 16:0,2.48000001907
2014-1-24 17:0,2.54999995232,2014-1-24 17:0,2.45000004768
2014-1-24 18:0,2.51999998093,2014-1-24 18:0,2.41999983788
2014-1-24 19:0,2.5,2014-1-24 19:0,2.37999987602
2014-1-24 20:0,2.48000001907,2014-1-24 20:0,2.3599998951
2014-1-24 21:0,2.45000004768,2014-1-24 21:0,2.32999992371
2014-1-24 22:0,2.42999982834,2014-1-24 22:0,2.30999994278
2014-1-24 23:0,2.40999984741,2014-1-24 23:0,2.28999996185
2014-1-25 0:0,2.39999985695,2014-1-25 0:0,2.26999998093
2014-1-25 1:0,2.38999986649,2014-1-25 1:0,2.25999999046
2014-1-25 2:0,2.38999986649,2014-1-25 2:0,2.24000000954
2014-1-25 3:0,2.38999986649,2014-1-25 3:0,2.23000001907
2014-1-25 4:0,2.39999985695,2014-1-25 4:0,2.23000001907
2014-1-25 5:0,2.41999983788,2014-1-25 5:0,2.24000000954
2014-1-25 6:0,2.44000005722,2014-1-25 6:0,2.25
2014-1-25 7:0,2.47000002861,2014-1-25 7:0,2.26999998093
2014-1-25 8:0,2.51999998093,2014-1-25 8:0,2.30999994278
2014-1-25 9:0,2.57999992371,2014-1-25 9:0,2.33999991417
2014-1-25 10:0,2.62999987602,2014-1-25 10:0,2.37999987602
2014-1-25 11:0,2.67999982834,2014-1-25 11:0,2.41999983788
2014-1-25 12:0,2.71000003815,2014-1-25 12:0,2.46000003815
2014-1-25 13:0,2.73000001907,2014-1-25 13:0,2.49000000954
2014-1-25 14:0,2.74000000954,2014-1-25 14:0,2.51999998093
2014-1-25 15:0,2.75,2014-1-25 15:0,2.53999996185
2014-1-25 16:0,2.75,2014-1-25 16:0,2.55999994278
2014-1-25 17:0,2.75,2014-1-25 17:0,2.56999993324
2014-1-25 18:0,2.75999999046,2014-1-25 18:0,2.58999991417
2014-1-25 19:0,2.76999998093,2014-1-25 19:0,2.59999990463
2014-1-25 20:0,2.76999998093,2014-1-25 20:0,2.6099998951
2014-1-25 21:0,2.76999998093,2014-1-25 21:0,2.61999988556
2014-1-25 22:0,2.76999998093,2014-1-25 22:0,2.62999987602
